,Date,Portfolio Value
105,2024-04-22,99566.06568482703
106,2024-04-23,98631.4469180878
107,2024-04-24,100446.9890785359
108,2024-04-25,99129.36163383427
109,2024-04-26,98887.10032520382
110,2024-04-29,101123.21066044585
111,2024-04-30,101152.86403407181
112,2024-05-06,103692.65406275626
113,2024-05-07,104413.36224878239
114,2024-05-08,102239.04635467101
115,2024-05-09,102698.5205102923
116,2024-05-10,102430.07108292395
117,2024-05-13,103567.68062624619
118,2024-05-14,102742.83430175504
119,2024-05-15,100676.39508534445
120,2024-05-16,101132.32003958077
121,2024-05-17,105484.18261226769
122,2024-05-20,103384.87290197799
123,2024-05-21,101350.48788072751
124,2024-05-22,100892.82308623483
125,2024-05-23,98644.93699442629
126,2024-05-24,96287.07357826272
127,2024-05-27,97995.17915764288
128,2024-05-28,98167.79793410715
129,2024-05-29,97901.51738527548
130,2024-05-30,97689.83960108965
131,2024-05-31,96587.2383326155
132,2024-06-03,96621.607878351
133,2024-06-04,97772.44419877272
134,2024-06-05,96582.16175387922
135,2024-06-06,94391.7955164022
136,2024-06-07,93369.53542357468
137,2024-06-11,92262.91176517896
138,2024-06-12,92031.77030831052
139,2024-06-13,90865.34029584596
140,2024-06-14,92094.94571808362
141,2024-06-17,91966.35802093451
142,2024-06-18,92023.21780982809
143,2024-06-19,91261.78297265364
144,2024-06-20,91188.77340707989
145,2024-06-21,90292.92066971098
146,2024-06-24,87960.28579610826
147,2024-06-25,87257.29862688963
148,2024-06-26,87759.54532235675
149,2024-06-27,85594.68606440192
150,2024-06-28,86714.41268620978
151,2024-07-01,87299.31688133108
152,2024-07-02,85534.78765912866
153,2024-07-03,84513.02998856793
154,2024-07-04,82537.58579851012
155,2024-07-05,81926.80908044009
156,2024-07-08,79343.50573925585
157,2024-07-09,80522.39519594396
158,2024-07-10,81679.72805105784
159,2024-07-11,83385.35487424198
160,2024-07-12,85049.35771153837
161,2024-07-15,85268.89962716344
162,2024-07-16,87863.75038212918
163,2024-07-17,87338.588464336
164,2024-07-18,87092.63172997546
165,2024-07-19,89298.87823444694
166,2024-07-22,90351.92961393896
167,2024-07-23,87474.75271256283
168,2024-07-24,88204.5774796392
169,2024-07-25,87171.10557664916
170,2024-07-26,88228.4329796947
171,2024-07-29,86848.55508738267
172,2024-07-30,86506.51199956314
173,2024-07-31,89721.75860001087
174,2024-08-01,88226.29359521973
175,2024-08-02,86849.52298697154
176,2024-08-05,85925.35269780015
177,2024-08-06,87436.82169498122
178,2024-08-07,87308.04438742863
179,2024-08-08,88004.06256594081
180,2024-08-09,87440.44120316098
181,2024-08-12,86126.00279368751
182,2024-08-13,85677.57002177171
183,2024-08-14,84760.69329310514
184,2024-08-15,85602.80336947179
185,2024-08-16,85714.56581707844
186,2024-08-19,86436.14351737825
187,2024-08-20,85564.54131227915
188,2024-08-21,85457.7534649916
189,2024-08-22,84309.96062144462
190,2024-08-23,83528.70900964086
191,2024-08-26,83453.96680274192
192,2024-08-27,82411.82681845824
193,2024-08-28,82402.94104920735
194,2024-08-29,83901.23919825096
195,2024-08-30,84614.4135827665
196,2024-09-02,81748.41810220115
197,2024-09-03,80955.12779092728
198,2024-09-04,81207.05698987462
199,2024-09-05,81851.70071549353
200,2024-09-06,80813.92107448097
201,2024-09-09,79792.31799597453
202,2024-09-10,80101.7456862269
203,2024-09-11,81411.87559965266
204,2024-09-12,80006.49178556493
205,2024-09-13,79406.52892464549
206,2024-09-18,78690.20527874288
207,2024-09-19,79839.94259545884
208,2024-09-20,79898.5951661988
209,2024-09-23,80694.20299605145
210,2024-09-24,83044.16236079062
211,2024-09-25,84446.09926073061
212,2024-09-26,87535.71448606804
213,2024-09-27,99367.10683409592
214,2024-09-30,118857.33269483606
215,2024-10-08,142506.56109250343
216,2024-10-09,145457.9842507369
217,2024-10-10,136066.9037647271
218,2024-10-11,134696.58287357076
219,2024-10-14,137268.29831482467
220,2024-10-15,133078.82808322407
221,2024-10-16,132591.16156740204
222,2024-10-17,127941.4245622736
223,2024-10-18,134420.17653898484
224,2024-10-21,136573.69887691154
225,2024-10-22,139121.9026388956
226,2024-10-23,142095.848280898
227,2024-10-24,139341.66361317498
228,2024-10-25,141943.74041147128
229,2024-10-28,142417.65742531547
230,2024-10-29,139432.78321459057
231,2024-10-30,136667.8491785552
232,2024-10-31,139921.45776691881
233,2024-11-01,135622.50282150513
234,2024-11-04,135441.36580071683
235,2024-11-05,143354.89833469954
236,2024-11-06,146894.5632591714
237,2024-11-07,149627.90798853448
238,2024-11-08,145854.1258059542
