,Ticker,Company,Segment,Exchange,Weighting (%),yf_ticker
172,SSE: 601100,Jiangsu Hengli Hydraulic,Industrials,Shanghai,0.171,601100.SS
173,SSE: 601800,China Communications Construction Company,Industrials,Shanghai,0.171,601800.SS
174,SZSE: 000895,Henan Shuanghui Investment & Development,Consumer Staples,Shenzhen,0.17,000895.SZ
175,SZSE: 002555,37 Interactive Entertainment Network Technology Group,Communication,Shenzhen,0.17,002555.SZ
176,SZSE: 003816,CGN Power,Utilities,Shenzhen,0.17,003816.SZ
177,SSE: 600489,Zhongjin Gold,Materials,Shanghai,0.17,600489.SS
178,SSE: 601066,China Securities,Financials,Shanghai,0.17,601066.SS
179,SZSE: 000963,Huadong Medicine,Health Care,Shenzhen,0.166,000963.SZ
180,SZSE: 300142,Walvax Biotechnology,Health Care,Shenzhen,0.166,300142.SZ
181,SZSE: 300033,Hithink RoyalFlush Information Network,Financials,Shenzhen,0.165,300033.SZ
182,SZSE: 000768,AVIC Aircraft,Industrials,Shenzhen,0.163,000768.SZ
183,SSE: 601633,Great Wall Motor,Consumer Discretionary,Shanghai,0.162,601633.SS
184,SZSE: 000786,Beijing New Building Materials Public,Industrials,Shenzhen,0.16,000786.SZ
185,SZSE: 002920,Huizhou Desay SV Automotive,Consumer Discretionary,Shenzhen,0.16,002920.SZ
186,SSE: 600600,Tsingtao Brewery,Consumer Staples,Shanghai,0.16,600600.SS
187,SSE: 601868,China Energy Engineering Corporation,Industrials,Shanghai,0.159,601868.SS
188,SZSE: 002648,SATELLITE CHEMICAL,Materials,Shenzhen,0.157,002648.SZ
189,SSE: 601021,Spring Airlines,Industrials,Shanghai,0.157,601021.SS
190,SSE: 603392,BEIJING WANTAI BIOLOGICAL PHARMACY  ENTERPRISE,Health Care,Shanghai,0.157,603392.SS
191,SZSE: 000301,Jiangsu Eastern Shenghong,Materials,Shenzhen,0.156,000301.SZ
192,SZSE: 002001,Zhejiang NHU,Health Care,Shenzhen,0.156,002001.SZ
193,SSE: 600741,HUAYU Automotive Systems Company,Consumer Discretionary,Shanghai,0.154,600741.SS
194,SSE: 601336,New China Life Insurance,Financials,Shanghai,0.153,601336.SS
195,SSE: 601689,Ningbo Tuopu Group,Consumer Discretionary,Shanghai,0.153,601689.SS
196,SSE: 688599,Trina Solar,Information Technology,Shanghai,0.153,688599.SS
197,SZSE: 002812,Yunnan Energy New Material,Materials,Shenzhen,0.151,002812.SZ
198,SSE: 600346,Hengli Petrochemical,Materials,Shanghai,0.151,600346.SS
199,SZSE: 000983,Shanxi Coking Coal Energy Group,Energy,Shenzhen,0.148,000983.SZ
200,SSE: 601881,China Galaxy Securities,Financials,Shanghai,0.148,601881.SS
201,SSE: 600588,Yonyou Network Technology,Information Technology,Shanghai,0.146,600588.SS
202,SSE: 600515,Hainan Airport Infrastructure,Real Estate,Shanghai,0.144,600515.SS
203,SSE: 601117,China National Chemical Engineering,Industrials,Shanghai,0.144,601117.SS
204,SSE: 601838,BANK OF CHENGDU,Financials,Shanghai,0.142,601838.SS
205,SSE: 688126,National Silicon Industry Group,Information Technology,Shanghai,0.142,688126.SS
206,SZSE: 300450,WUXI LEAD INTELLIGENT EQUIPMENT,Industrials,Shenzhen,0.14,300450.SZ
207,SZSE: 002736,Guosen Securities,Financials,Shenzhen,0.139,002736.SZ
208,SZSE: 002821,Asymchem Laboratories (Tianjin),Health Care,Shenzhen,0.136,002821.SZ
209,SZSE: 300316,Zhejiang Jingsheng Mechanical & Electrical,Information Technology,Shenzhen,0.136,300316.SZ
210,SZSE: 300433,Lens Technology,Information Technology,Shenzhen,0.135,300433.SZ
211,SSE: 600176,CHINA JUSHI,Materials,Shanghai,0.135,600176.SS
212,SZSE: 002709,Guangzhou Tinci Materials Technology,Materials,Shenzhen,0.134,002709.SZ
213,SZSE: 300347,Hangzhou Tigermed Consulting,Health Care,Shenzhen,0.133,300347.SZ
214,SSE: 601618,Metallurgical Corporation of China,Industrials,Shanghai,0.133,601618.SS
215,SSE: 601872,China Merchants Energy Shipping,Energy,Shanghai,0.132,601872.SS
216,SZSE: 000408,ZANGGE MINING COMPANY,Materials,Shenzhen,0.13,000408.SZ
217,SZSE: 002180,Ninestar Corporation,Information Technology,Shenzhen,0.13,002180.SZ
218,SZSE: 300661,SG Micro,Information Technology,Shenzhen,0.13,300661.SZ
219,SSE: 600372,China Avionics Systems,Industrials,Shanghai,0.129,600372.SS
220,SSE: 601898,China Coal Energy,Energy,Shanghai,0.128,601898.SS
